bssid,zone
00:1f:45:64:0f:41,3
00:1f:45:64:0f:49,1
00:1f:45:64:10:49,5
00:1f:45:64:10:41,6
00:1f:45:64:14:09,4
00:1f:45:64:02:d1,6
00:1f:45:64:14:01,3
00:1f:45:64:02:d9,1
00:1f:45:63:fb:e9,6
00:1f:45:63:fb:e1,6
00:1f:45:64:21:29,6
00:1f:45:64:19:f1,6
00:1f:45:64:21:21,6
00:1f:45:64:19:f9,6
00:1f:45:64:1a:69,4
00:1f:45:64:23:d1,6
00:1f:45:64:1a:61,4
00:1f:45:64:23:d9,4
00:1f:45:64:15:09,5
00:1f:45:63:c3:21,6
00:1f:45:64:15:01,5
00:1f:45:63:c3:29,6
00:1f:45:63:ff:69,2
00:1f:45:63:ff:61,6
00:1f:45:64:13:d1,1
00:1f:45:64:13:01,4
00:1f:45:64:13:d9,1
00:1f:45:64:13:09,2
00:1f:45:64:12:f9,5
00:1f:45:64:12:f1,2
00:1f:45:64:17:51,4
00:1f:45:64:15:f1,3
00:1f:45:64:17:59,5
00:1f:45:64:15:f9,1
00:1f:45:64:1f:49,5
00:1f:45:64:1f:41,6
00:1f:45:64:26:b9,5
00:1f:45:64:26:b1,2
00:1f:45:64:11:29,2
00:1f:45:64:1d:41,4
00:1f:45:64:11:21,2
00:1f:45:64:1d:49,4
00:1f:45:63:c5:51,6
00:1f:45:63:c5:59,6
00:1f:45:63:fd:b9,3
00:1f:45:63:fd:b1,3
00:1f:45:64:12:21,3
00:1f:45:64:12:29,3
00:1f:45:64:06:e1,1
00:1f:45:64:12:c1,2
00:1f:45:64:29:f9,4
00:1f:45:64:06:e9,3
00:1f:45:64:12:c9,3
00:1f:45:64:29:f1,4
00:1f:45:64:11:a9,6
00:1f:45:64:0e:a9,2
00:1f:45:63:56:59,1
00:1f:45:64:11:a1,3
00:1f:45:64:0e:a1,3
00:1f:45:64:12:91,4
00:1f:45:64:12:99,1
00:1f:45:64:15:41,6
00:1f:45:64:26:61,4
00:1f:45:64:26:69,5
00:1f:45:64:0b:91,6
00:1f:45:64:12:b1,4
00:1f:45:64:0b:99,6
00:1f:45:64:12:b9,3
00:1f:45:64:11:41,1
00:1f:45:64:11:49,1
00:1f:45:6d:18:e1,3
00:1f:45:64:1b:f9,2
00:1f:45:64:17:d9,6
00:1f:45:6d:18:e9,3
00:1f:45:64:1b:f1,2
00:1f:45:64:17:d1,4
00:1f:45:63:b4:59,1
00:1f:45:64:2a:61,6
00:1f:45:64:1f:91,4
00:1f:45:63:b4:51,1
00:1f:45:64:2a:69,6
00:1f:45:64:1f:99,4
00:1f:45:64:19:d9,1
00:1f:45:64:19:d1,1
00:1f:45:64:14:19,3
00:1f:45:64:14:11,2
00:1f:45:64:1b:79,4
00:1f:45:64:0c:11,5
00:1f:45:63:fc:d9,2
00:1f:45:64:16:f1,6
00:1f:45:64:1b:71,4
00:1f:45:64:0c:19,5
00:1f:45:63:fc:d1,2
00:1f:45:64:16:f9,6
